projectid;CURRENT.DATE;simulationid;DevStage;TSUM;Yield;LAI;InterceptedPar
TestProject;01.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;02.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;03.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;04.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;05.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;06.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;07.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;08.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;09.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;10.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;11.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;12.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;13.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;14.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;15.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;16.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;17.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;18.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;19.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;20.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;21.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;22.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;23.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;24.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;25.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0288;0.04368547050593871
TestProject;26.01.1987;TestProject_00__TESTSIMULATION;0.0025;1.5;0.0;0.031043063545477388;0.040597588151662256
TestProject;27.01.1987;TestProject_00__TESTSIMULATION;0.006833333333333334;4.1;0.0;0.03535272187093952;0.08500240711479604
TestProject;28.01.1987;TestProject_00__TESTSIMULATION;0.015833333333333335;9.5;0.0;0.04631080888759055;0.07536097759723479
TestProject;29.01.1987;TestProject_00__TESTSIMULATION;0.022833333333333334;13.7;0.0;0.05713262886347021;0.09267139491422988
TestProject;30.01.1987;TestProject_00__TESTSIMULATION;0.027;16.2;0.0;0.06473975001628238;0.12001217055687907
TestProject;31.01.1987;TestProject_00__TESTSIMULATION;0.029166666666666667;17.5;0.0;0.06908760846625242;0.15632985414198375
TestProject;01.02.1987;TestProject_00__TESTSIMULATION;0.03383333333333333;20.3;0.0;0.07946966584443692;0.11407904870628444
TestProject;02.02.1987;TestProject_00__TESTSIMULATION;0.03933333333333333;23.6;0.0;0.09372597704322254;0.1285064455922411
TestProject;03.02.1987;TestProject_00__TESTSIMULATION;0.0435;26.1;0.0;0.1062054458987045;0.23150770544101223
TestProject;04.02.1987;TestProject_00__TESTSIMULATION;0.04766666666666666;28.6;0.0;0.12034653672738951;0.327414041187807
TestProject;05.02.1987;TestProject_00__TESTSIMULATION;0.04766666666666666;28.6;0.0;0.12034653672738951;0.4841548055862252
TestProject;06.02.1987;TestProject_00__TESTSIMULATION;0.048999999999999995;29.400000000000002;0.0;0.12525797206260697;0.49956070172374595
TestProject;07.02.1987;TestProject_00__TESTSIMULATION;0.05016666666666666;30.1;0.0;0.12971962455230837;0.5279037037483216
TestProject;08.02.1987;TestProject_00__TESTSIMULATION;0.05266666666666666;31.6;0.0;0.1398227273636381;0.5713437073856047
