projectid;CURRENT.DATE;simulationid;DevStage1;DevStage2;TSUM1;TSUM2;Yield1_per_sqm;Yield2_per_sqm;Yield1_per_fraction;Yield2_per_fraction;TotalYield_per_sqm;LAI1;LAI2;InterceptedPAR1_per_sqm;InterceptedPAR2_per_sqm;InterceptedPAR1_per_fraction;InterceptedPAR2_per_fraction;TotalInterceptedPAR;Height1;Height2
TestProject;01.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;02.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;03.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;04.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;05.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;06.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;07.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;08.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;09.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;10.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;11.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;12.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;13.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;14.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TestProject;15.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04835999999999999;0.0288;0.0;0.0;0.0;0.0;0.0;0.059725014637418694;0.007148407938778523
TestProject;16.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04835999999999999;0.0288;0.001084755066674311;3.8854333341445933E-4;4.3390202666972443E-4;2.3312600004867559E-4;6.670280267184E-4;0.059725014637418694;0.007148407938778523
TestProject;17.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04835999999999999;0.0288;0.13597447333048693;0.08130558070625735;0.05438978933219477;0.048783348423754404;0.10317313775594918;0.059725014637418694;0.007148407938778523
TestProject;18.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04835999999999999;0.0288;0.14885626554074358;0.08900821466790279;0.05954250621629743;0.05340492880074167;0.1129474350170391;0.059725014637418694;0.007148407938778523
TestProject;19.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04835999999999999;0.0288;0.157444127014248;0.09414330397566642;0.06297765080569921;0.05648598238539985;0.11946363319109907;0.059725014637418694;0.007148407938778523
TestProject;20.01.1987;TestProject_00__TESTSIMULATION;0.0011510791366906472;0.0;0.7999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.04835999999999999;0.0288;0.1603067475054162;0.09585500041158762;0.06412269900216648;0.05751300024695257;0.12163569924911904;0.059725014637418694;0.007148407938778523
TestProject;21.01.1987;TestProject_00__TESTSIMULATION;0.0011510791366906472;0.0;0.7999999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.04835999999999999;0.0288;0.15315019627749585;0.0915757593217846;0.06126007851099834;0.05494545559307076;0.11620553410406911;0.059725014637418694;0.007148407938778523
TestProject;22.01.1987;TestProject_00__TESTSIMULATION;0.004028776978417266;0.0;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.04835999999999999;0.0288;0.17032591922450468;0.10184593793731186;0.06813036768980188;0.061107562762387116;0.129237930452189;0.059725014637418694;0.007148407938778523
TestProject;23.01.1987;TestProject_00__TESTSIMULATION;0.008633093525179856;0.0;5.999999999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.04835999999999999;0.0288;0.1588754372598321;0.094999152193627;0.06355017490393285;0.0569994913161762;0.12054966622010904;0.059725014637418694;0.007148407938778523
TestProject;24.01.1987;TestProject_00__TESTSIMULATION;0.016546762589928057;0.0025;11.5;1.5;0.0;0.0;0.0;0.0;0.0;0.05054040046975853;0.031043063545477388;0.09716656441250647;0.05992262401776233;0.03886662576500259;0.03595357441065739;0.07482020017565999;0.06238395334847352;0.007700846811739437
TestProject;25.01.1987;TestProject_00__TESTSIMULATION;0.026906474820143883;0.007833333333333333;18.7;4.699999999999999;0.0;0.0;0.0;0.0;0.0;0.055526091408244035;0.03642937253950729;0.1476022234044581;0.09720263096328433;0.05904088936178325;0.058321578577970594;0.11736246793975384;0.06845298574328029;0.009024900748828446
